type,min_rho,max_rho,theta,isOmini,isThrough,cost,x,y,alpha
B3,0.0,25.0,0.7609635538695277,0,0,50.0,11.94,37.98703139203344,0.0
B3,0.0,25.0,0.7609635538695277,0,0,50.0,11.94,37.98703139203344,1.5707963267948966
B3,0.0,25.0,0.7609635538695277,0,0,50.0,11.94,37.98703139203344,3.141592653589793
B3,0.0,25.0,0.7609635538695277,0,0,50.0,11.94,37.98703139203344,4.71238898038469
B4,0.0,33.3,0.582939970166106,0,0,55.0,11.94,37.98703139203344,0.0
B4,0.0,33.3,0.582939970166106,0,0,55.0,11.94,37.98703139203344,1.5707963267948966
B4,0.0,33.3,0.582939970166106,0,0,55.0,11.94,37.98703139203344,3.141592653589793
B4,0.0,33.3,0.582939970166106,0,0,55.0,11.94,37.98703139203344,4.71238898038469
B5,0.0,50.0,0.39444441095071847,0,0,60.0,11.94,37.98703139203344,0.0
B5,0.0,50.0,0.39444441095071847,0,0,60.0,11.94,37.98703139203344,1.5707963267948966
B5,0.0,50.0,0.39444441095071847,0,0,60.0,11.94,37.98703139203344,3.141592653589793
B5,0.0,50.0,0.39444441095071847,0,0,60.0,11.94,37.98703139203344,4.71238898038469
B6,0.0,66.7,0.2984513020910304,0,0,65.0,11.94,37.98703139203344,0.0
B6,0.0,66.7,0.2984513020910304,0,0,65.0,11.94,37.98703139203344,1.5707963267948966
B6,0.0,66.7,0.2984513020910304,0,0,65.0,11.94,37.98703139203344,3.141592653589793
B6,0.0,66.7,0.2984513020910304,0,0,65.0,11.94,37.98703139203344,4.71238898038469
O1,0.0,8.0,6.283185307179586,1,0,38.0,11.94,37.98703139203344,0
O2,0.0,10.0,6.283185307179586,1,0,42.0,11.94,37.98703139203344,0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,13.02048008683107,42.082721760807225,0.0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,13.02048008683107,42.082721760807225,1.5707963267948966
B1,0.0,11.7,1.4172073526193958,0,0,40.0,13.02048008683107,42.082721760807225,3.141592653589793
B1,0.0,11.7,1.4172073526193958,0,0,40.0,13.02048008683107,42.082721760807225,4.71238898038469
B2,0.0,15.0,1.1763519158441782,0,0,45.0,13.02048008683107,42.082721760807225,0.0
B2,0.0,15.0,1.1763519158441782,0,0,45.0,13.02048008683107,42.082721760807225,1.5707963267948966
B2,0.0,15.0,1.1763519158441782,0,0,45.0,13.02048008683107,42.082721760807225,3.141592653589793
B2,0.0,15.0,1.1763519158441782,0,0,45.0,13.02048008683107,42.082721760807225,4.71238898038469
B3,0.0,25.0,0.7609635538695277,0,0,50.0,13.02048008683107,42.082721760807225,0.0
B3,0.0,25.0,0.7609635538695277,0,0,50.0,13.02048008683107,42.082721760807225,1.5707963267948966
B3,0.0,25.0,0.7609635538695277,0,0,50.0,13.02048008683107,42.082721760807225,3.141592653589793
B3,0.0,25.0,0.7609635538695277,0,0,50.0,13.02048008683107,42.082721760807225,4.71238898038469
B4,0.0,33.3,0.582939970166106,0,0,55.0,13.02048008683107,42.082721760807225,0.0
B4,0.0,33.3,0.582939970166106,0,0,55.0,13.02048008683107,42.082721760807225,1.5707963267948966
B4,0.0,33.3,0.582939970166106,0,0,55.0,13.02048008683107,42.082721760807225,3.141592653589793
B4,0.0,33.3,0.582939970166106,0,0,55.0,13.02048008683107,42.082721760807225,4.71238898038469
B5,0.0,50.0,0.39444441095071847,0,0,60.0,13.02048008683107,42.082721760807225,0.0
B5,0.0,50.0,0.39444441095071847,0,0,60.0,13.02048008683107,42.082721760807225,1.5707963267948966
B5,0.0,50.0,0.39444441095071847,0,0,60.0,13.02048008683107,42.082721760807225,3.141592653589793
B5,0.0,50.0,0.39444441095071847,0,0,60.0,13.02048008683107,42.082721760807225,4.71238898038469
B6,0.0,66.7,0.2984513020910304,0,0,65.0,13.02048008683107,42.082721760807225,0.0
B6,0.0,66.7,0.2984513020910304,0,0,65.0,13.02048008683107,42.082721760807225,1.5707963267948966
B6,0.0,66.7,0.2984513020910304,0,0,65.0,13.02048008683107,42.082721760807225,3.141592653589793
B6,0.0,66.7,0.2984513020910304,0,0,65.0,13.02048008683107,42.082721760807225,4.71238898038469
O1,0.0,8.0,6.283185307179586,1,0,38.0,13.02048008683107,42.082721760807225,0
O2,0.0,10.0,6.283185307179586,1,0,42.0,13.02048008683107,42.082721760807225,0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,14.100960173662141,46.17841212958101,0.0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,14.100960173662141,46.17841212958101,1.5707963267948966
B1,0.0,11.7,1.4172073526193958,0,0,40.0,14.100960173662141,46.17841212958101,3.141592653589793
B1,0.0,11.7,1.4172073526193958,0,0,40.0,14.100960173662141,46.17841212958101,4.71238898038469
B2,0.0,15.0,1.1763519158441782,0,0,45.0,14.100960173662141,46.17841212958101,0.0
B2,0.0,15.0,1.1763519158441782,0,0,45.0,14.100960173662141,46.17841212958101,1.5707963267948966
B2,0.0,15.0,1.1763519158441782,0,0,45.0,14.100960173662141,46.17841212958101,3.141592653589793
B2,0.0,15.0,1.1763519158441782,0,0,45.0,14.100960173662141,46.17841212958101,4.71238898038469
B3,0.0,25.0,0.7609635538695277,0,0,50.0,14.100960173662141,46.17841212958101,0.0
B3,0.0,25.0,0.7609635538695277,0,0,50.0,14.100960173662141,46.17841212958101,1.5707963267948966
B3,0.0,25.0,0.7609635538695277,0,0,50.0,14.100960173662141,46.17841212958101,3.141592653589793
B3,0.0,25.0,0.7609635538695277,0,0,50.0,14.100960173662141,46.17841212958101,4.71238898038469
B4,0.0,33.3,0.582939970166106,0,0,55.0,14.100960173662141,46.17841212958101,0.0
B4,0.0,33.3,0.582939970166106,0,0,55.0,14.100960173662141,46.17841212958101,1.5707963267948966
B4,0.0,33.3,0.582939970166106,0,0,55.0,14.100960173662141,46.17841212958101,3.141592653589793
B4,0.0,33.3,0.582939970166106,0,0,55.0,14.100960173662141,46.17841212958101,4.71238898038469
B5,0.0,50.0,0.39444441095071847,0,0,60.0,14.100960173662141,46.17841212958101,0.0
B5,0.0,50.0,0.39444441095071847,0,0,60.0,14.100960173662141,46.17841212958101,1.5707963267948966
B5,0.0,50.0,0.39444441095071847,0,0,60.0,14.100960173662141,46.17841212958101,3.141592653589793
B5,0.0,50.0,0.39444441095071847,0,0,60.0,14.100960173662141,46.17841212958101,4.71238898038469
B6,0.0,66.7,0.2984513020910304,0,0,65.0,14.100960173662141,46.17841212958101,0.0
B6,0.0,66.7,0.2984513020910304,0,0,65.0,14.100960173662141,46.17841212958101,1.5707963267948966
B6,0.0,66.7,0.2984513020910304,0,0,65.0,14.100960173662141,46.17841212958101,3.141592653589793
B6,0.0,66.7,0.2984513020910304,0,0,65.0,14.100960173662141,46.17841212958101,4.71238898038469
O1,0.0,8.0,6.283185307179586,1,0,38.0,14.100960173662141,46.17841212958101,0
O2,0.0,10.0,6.283185307179586,1,0,42.0,14.100960173662141,46.17841212958101,0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,15.181440260493211,50.27410249835479,0.0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,15.181440260493211,50.27410249835479,1.5707963267948966
B1,0.0,11.7,1.4172073526193958,0,0,40.0,15.181440260493211,50.27410249835479,3.141592653589793
B1,0.0,11.7,1.4172073526193958,0,0,40.0,15.181440260493211,50.27410249835479,4.71238898038469
B2,0.0,15.0,1.1763519158441782,0,0,45.0,15.181440260493211,50.27410249835479,0.0
B2,0.0,15.0,1.1763519158441782,0,0,45.0,15.181440260493211,50.27410249835479,1.5707963267948966
B2,0.0,15.0,1.1763519158441782,0,0,45.0,15.181440260493211,50.27410249835479,3.141592653589793
B2,0.0,15.0,1.1763519158441782,0,0,45.0,15.181440260493211,50.27410249835479,4.71238898038469
B3,0.0,25.0,0.7609635538695277,0,0,50.0,15.181440260493211,50.27410249835479,0.0
B3,0.0,25.0,0.7609635538695277,0,0,50.0,15.181440260493211,50.27410249835479,1.5707963267948966
B3,0.0,25.0,0.7609635538695277,0,0,50.0,15.181440260493211,50.27410249835479,3.141592653589793
B3,0.0,25.0,0.7609635538695277,0,0,50.0,15.181440260493211,50.27410249835479,4.71238898038469
B4,0.0,33.3,0.582939970166106,0,0,55.0,15.181440260493211,50.27410249835479,0.0
B4,0.0,33.3,0.582939970166106,0,0,55.0,15.181440260493211,50.27410249835479,1.5707963267948966
B4,0.0,33.3,0.582939970166106,0,0,55.0,15.181440260493211,50.27410249835479,3.141592653589793
B4,0.0,33.3,0.582939970166106,0,0,55.0,15.181440260493211,50.27410249835479,4.71238898038469
B5,0.0,50.0,0.39444441095071847,0,0,60.0,15.181440260493211,50.27410249835479,0.0
B5,0.0,50.0,0.39444441095071847,0,0,60.0,15.181440260493211,50.27410249835479,1.5707963267948966
B5,0.0,50.0,0.39444441095071847,0,0,60.0,15.181440260493211,50.27410249835479,3.141592653589793
B5,0.0,50.0,0.39444441095071847,0,0,60.0,15.181440260493211,50.27410249835479,4.71238898038469
B6,0.0,66.7,0.2984513020910304,0,0,65.0,15.181440260493211,50.27410249835479,0.0
B6,0.0,66.7,0.2984513020910304,0,0,65.0,15.181440260493211,50.27410249835479,1.5707963267948966
B6,0.0,66.7,0.2984513020910304,0,0,65.0,15.181440260493211,50.27410249835479,3.141592653589793
B6,0.0,66.7,0.2984513020910304,0,0,65.0,15.181440260493211,50.27410249835479,4.71238898038469
O1,0.0,8.0,6.283185307179586,1,0,38.0,15.181440260493211,50.27410249835479,0
O2,0.0,10.0,6.283185307179586,1,0,42.0,15.181440260493211,50.27410249835479,0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,16.26192034732428,54.36979286712858,0.0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,16.26192034732428,54.36979286712858,1.5707963267948966
B1,0.0,11.7,1.4172073526193958,0,0,40.0,16.26192034732428,54.36979286712858,3.141592653589793
B1,0.0,11.7,1.4172073526193958,0,0,40.0,16.26192034732428,54.36979286712858,4.71238898038469
B2,0.0,15.0,1.1763519158441782,0,0,45.0,16.26192034732428,54.36979286712858,0.0
B2,0.0,15.0,1.1763519158441782,0,0,45.0,16.26192034732428,54.36979286712858,1.5707963267948966
B2,0.0,15.0,1.1763519158441782,0,0,45.0,16.26192034732428,54.36979286712858,3.141592653589793
B2,0.0,15.0,1.1763519158441782,0,0,45.0,16.26192034732428,54.36979286712858,4.71238898038469
B3,0.0,25.0,0.7609635538695277,0,0,50.0,16.26192034732428,54.36979286712858,0.0
B3,0.0,25.0,0.7609635538695277,0,0,50.0,16.26192034732428,54.36979286712858,1.5707963267948966
B3,0.0,25.0,0.7609635538695277,0,0,50.0,16.26192034732428,54.36979286712858,3.141592653589793
B3,0.0,25.0,0.7609635538695277,0,0,50.0,16.26192034732428,54.36979286712858,4.71238898038469
B4,0.0,33.3,0.582939970166106,0,0,55.0,16.26192034732428,54.36979286712858,0.0
B4,0.0,33.3,0.582939970166106,0,0,55.0,16.26192034732428,54.36979286712858,1.5707963267948966
B4,0.0,33.3,0.582939970166106,0,0,55.0,16.26192034732428,54.36979286712858,3.141592653589793
B4,0.0,33.3,0.582939970166106,0,0,55.0,16.26192034732428,54.36979286712858,4.71238898038469
B5,0.0,50.0,0.39444441095071847,0,0,60.0,16.26192034732428,54.36979286712858,0.0
B5,0.0,50.0,0.39444441095071847,0,0,60.0,16.26192034732428,54.36979286712858,1.5707963267948966
B5,0.0,50.0,0.39444441095071847,0,0,60.0,16.26192034732428,54.36979286712858,3.141592653589793
B5,0.0,50.0,0.39444441095071847,0,0,60.0,16.26192034732428,54.36979286712858,4.71238898038469
B6,0.0,66.7,0.2984513020910304,0,0,65.0,16.26192034732428,54.36979286712858,0.0
B6,0.0,66.7,0.2984513020910304,0,0,65.0,16.26192034732428,54.36979286712858,1.5707963267948966
B6,0.0,66.7,0.2984513020910304,0,0,65.0,16.26192034732428,54.36979286712858,3.141592653589793
B6,0.0,66.7,0.2984513020910304,0,0,65.0,16.26192034732428,54.36979286712858,4.71238898038469
O1,0.0,8.0,6.283185307179586,1,0,38.0,16.26192034732428,54.36979286712858,0
O2,0.0,10.0,6.283185307179586,1,0,42.0,16.26192034732428,54.36979286712858,0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,17.34240043415535,58.46548323590237,0.0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,17.34240043415535,58.46548323590237,1.5707963267948966
B1,0.0,11.7,1.4172073526193958,0,0,40.0,17.34240043415535,58.46548323590237,3.141592653589793
B1,0.0,11.7,1.4172073526193958,0,0,40.0,17.34240043415535,58.46548323590237,4.71238898038469
B2,0.0,15.0,1.1763519158441782,0,0,45.0,17.34240043415535,58.46548323590237,0.0
B2,0.0,15.0,1.1763519158441782,0,0,45.0,17.34240043415535,58.46548323590237,1.5707963267948966
B2,0.0,15.0,1.1763519158441782,0,0,45.0,17.34240043415535,58.46548323590237,3.141592653589793
B2,0.0,15.0,1.1763519158441782,0,0,45.0,17.34240043415535,58.46548323590237,4.71238898038469
B3,0.0,25.0,0.7609635538695277,0,0,50.0,17.34240043415535,58.46548323590237,0.0
B3,0.0,25.0,0.7609635538695277,0,0,50.0,17.34240043415535,58.46548323590237,1.5707963267948966
B3,0.0,25.0,0.7609635538695277,0,0,50.0,17.34240043415535,58.46548323590237,3.141592653589793
B3,0.0,25.0,0.7609635538695277,0,0,50.0,17.34240043415535,58.46548323590237,4.71238898038469
B4,0.0,33.3,0.582939970166106,0,0,55.0,17.34240043415535,58.46548323590237,0.0
B4,0.0,33.3,0.582939970166106,0,0,55.0,17.34240043415535,58.46548323590237,1.5707963267948966
B4,0.0,33.3,0.582939970166106,0,0,55.0,17.34240043415535,58.46548323590237,3.141592653589793
B4,0.0,33.3,0.582939970166106,0,0,55.0,17.34240043415535,58.46548323590237,4.71238898038469
B5,0.0,50.0,0.39444441095071847,0,0,60.0,17.34240043415535,58.46548323590237,0.0
B5,0.0,50.0,0.39444441095071847,0,0,60.0,17.34240043415535,58.46548323590237,1.5707963267948966
B5,0.0,50.0,0.39444441095071847,0,0,60.0,17.34240043415535,58.46548323590237,3.141592653589793
B5,0.0,50.0,0.39444441095071847,0,0,60.0,17.34240043415535,58.46548323590237,4.71238898038469
B6,0.0,66.7,0.2984513020910304,0,0,65.0,17.34240043415535,58.46548323590237,0.0
B6,0.0,66.7,0.2984513020910304,0,0,65.0,17.34240043415535,58.46548323590237,1.5707963267948966
B6,0.0,66.7,0.2984513020910304,0,0,65.0,17.34240043415535,58.46548323590237,3.141592653589793
B6,0.0,66.7,0.2984513020910304,0,0,65.0,17.34240043415535,58.46548323590237,4.71238898038469
O1,0.0,8.0,6.283185307179586,1,0,38.0,17.34240043415535,58.46548323590237,0
O2,0.0,10.0,6.283185307179586,1,0,42.0,17.34240043415535,58.46548323590237,0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,18.42288052098642,62.561173604676156,0.0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,18.42288052098642,62.561173604676156,1.5707963267948966
B1,0.0,11.7,1.4172073526193958,0,0,40.0,18.42288052098642,62.561173604676156,3.141592653589793
B1,0.0,11.7,1.4172073526193958,0,0,40.0,18.42288052098642,62.561173604676156,4.71238898038469
B2,0.0,15.0,1.1763519158441782,0,0,45.0,18.42288052098642,62.561173604676156,0.0
B2,0.0,15.0,1.1763519158441782,0,0,45.0,18.42288052098642,62.561173604676156,1.5707963267948966
B2,0.0,15.0,1.1763519158441782,0,0,45.0,18.42288052098642,62.561173604676156,3.141592653589793
B2,0.0,15.0,1.1763519158441782,0,0,45.0,18.42288052098642,62.561173604676156,4.71238898038469
B3,0.0,25.0,0.7609635538695277,0,0,50.0,18.42288052098642,62.561173604676156,0.0
B3,0.0,25.0,0.7609635538695277,0,0,50.0,18.42288052098642,62.561173604676156,1.5707963267948966
B3,0.0,25.0,0.7609635538695277,0,0,50.0,18.42288052098642,62.561173604676156,3.141592653589793
B3,0.0,25.0,0.7609635538695277,0,0,50.0,18.42288052098642,62.561173604676156,4.71238898038469
B4,0.0,33.3,0.582939970166106,0,0,55.0,18.42288052098642,62.561173604676156,0.0
B4,0.0,33.3,0.582939970166106,0,0,55.0,18.42288052098642,62.561173604676156,1.5707963267948966
B4,0.0,33.3,0.582939970166106,0,0,55.0,18.42288052098642,62.561173604676156,3.141592653589793
B4,0.0,33.3,0.582939970166106,0,0,55.0,18.42288052098642,62.561173604676156,4.71238898038469
B5,0.0,50.0,0.39444441095071847,0,0,60.0,18.42288052098642,62.561173604676156,0.0
B5,0.0,50.0,0.39444441095071847,0,0,60.0,18.42288052098642,62.561173604676156,1.5707963267948966
B5,0.0,50.0,0.39444441095071847,0,0,60.0,18.42288052098642,62.561173604676156,3.141592653589793
B5,0.0,50.0,0.39444441095071847,0,0,60.0,18.42288052098642,62.561173604676156,4.71238898038469
B6,0.0,66.7,0.2984513020910304,0,0,65.0,18.42288052098642,62.561173604676156,0.0
B6,0.0,66.7,0.2984513020910304,0,0,65.0,18.42288052098642,62.561173604676156,1.5707963267948966
B6,0.0,66.7,0.2984513020910304,0,0,65.0,18.42288052098642,62.561173604676156,3.141592653589793
B6,0.0,66.7,0.2984513020910304,0,0,65.0,18.42288052098642,62.561173604676156,4.71238898038469
O1,0.0,8.0,6.283185307179586,1,0,38.0,18.42288052098642,62.561173604676156,0
O2,0.0,10.0,6.283185307179586,1,0,42.0,18.42288052098642,62.561173604676156,0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,19.50336060781749,66.65686397344994,0.0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,19.50336060781749,66.65686397344994,1.5707963267948966
B1,0.0,11.7,1.4172073526193958,0,0,40.0,19.50336060781749,66.65686397344994,3.141592653589793
B1,0.0,11.7,1.4172073526193958,0,0,40.0,19.50336060781749,66.65686397344994,4.71238898038469
B2,0.0,15.0,1.1763519158441782,0,0,45.0,19.50336060781749,66.65686397344994,0.0
B2,0.0,15.0,1.1763519158441782,0,0,45.0,19.50336060781749,66.65686397344994,1.5707963267948966
B2,0.0,15.0,1.1763519158441782,0,0,45.0,19.50336060781749,66.65686397344994,3.141592653589793
B2,0.0,15.0,1.1763519158441782,0,0,45.0,19.50336060781749,66.65686397344994,4.71238898038469
B3,0.0,25.0,0.7609635538695277,0,0,50.0,19.50336060781749,66.65686397344994,0.0
B3,0.0,25.0,0.7609635538695277,0,0,50.0,19.50336060781749,66.65686397344994,1.5707963267948966
B3,0.0,25.0,0.7609635538695277,0,0,50.0,19.50336060781749,66.65686397344994,3.141592653589793
B3,0.0,25.0,0.7609635538695277,0,0,50.0,19.50336060781749,66.65686397344994,4.71238898038469
B4,0.0,33.3,0.582939970166106,0,0,55.0,19.50336060781749,66.65686397344994,0.0
B4,0.0,33.3,0.582939970166106,0,0,55.0,19.50336060781749,66.65686397344994,1.5707963267948966
B4,0.0,33.3,0.582939970166106,0,0,55.0,19.50336060781749,66.65686397344994,3.141592653589793
B4,0.0,33.3,0.582939970166106,0,0,55.0,19.50336060781749,66.65686397344994,4.71238898038469
B5,0.0,50.0,0.39444441095071847,0,0,60.0,19.50336060781749,66.65686397344994,0.0
B5,0.0,50.0,0.39444441095071847,0,0,60.0,19.50336060781749,66.65686397344994,1.5707963267948966
B5,0.0,50.0,0.39444441095071847,0,0,60.0,19.50336060781749,66.65686397344994,3.141592653589793
B5,0.0,50.0,0.39444441095071847,0,0,60.0,19.50336060781749,66.65686397344994,4.71238898038469
B6,0.0,66.7,0.2984513020910304,0,0,65.0,19.50336060781749,66.65686397344994,0.0
B6,0.0,66.7,0.2984513020910304,0,0,65.0,19.50336060781749,66.65686397344994,1.5707963267948966
B6,0.0,66.7,0.2984513020910304,0,0,65.0,19.50336060781749,66.65686397344994,3.141592653589793
B6,0.0,66.7,0.2984513020910304,0,0,65.0,19.50336060781749,66.65686397344994,4.71238898038469
O1,0.0,8.0,6.283185307179586,1,0,38.0,19.50336060781749,66.65686397344994,0
O2,0.0,10.0,6.283185307179586,1,0,42.0,19.50336060781749,66.65686397344994,0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,20.583840694648565,70.75255434222373,0.0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,20.583840694648565,70.75255434222373,1.5707963267948966
B1,0.0,11.7,1.4172073526193958,0,0,40.0,20.583840694648565,70.75255434222373,3.141592653589793
B1,0.0,11.7,1.4172073526193958,0,0,40.0,20.583840694648565,70.75255434222373,4.71238898038469
B2,0.0,15.0,1.1763519158441782,0,0,45.0,20.583840694648565,70.75255434222373,0.0
B2,0.0,15.0,1.1763519158441782,0,0,45.0,20.583840694648565,70.75255434222373,1.5707963267948966
B2,0.0,15.0,1.1763519158441782,0,0,45.0,20.583840694648565,70.75255434222373,3.141592653589793
B2,0.0,15.0,1.1763519158441782,0,0,45.0,20.583840694648565,70.75255434222373,4.71238898038469
B3,0.0,25.0,0.7609635538695277,0,0,50.0,20.583840694648565,70.75255434222373,0.0
B3,0.0,25.0,0.7609635538695277,0,0,50.0,20.583840694648565,70.75255434222373,1.5707963267948966
B3,0.0,25.0,0.7609635538695277,0,0,50.0,20.583840694648565,70.75255434222373,3.141592653589793
B3,0.0,25.0,0.7609635538695277,0,0,50.0,20.583840694648565,70.75255434222373,4.71238898038469
B4,0.0,33.3,0.582939970166106,0,0,55.0,20.583840694648565,70.75255434222373,0.0
B4,0.0,33.3,0.582939970166106,0,0,55.0,20.583840694648565,70.75255434222373,1.5707963267948966
B4,0.0,33.3,0.582939970166106,0,0,55.0,20.583840694648565,70.75255434222373,3.141592653589793
B4,0.0,33.3,0.582939970166106,0,0,55.0,20.583840694648565,70.75255434222373,4.71238898038469
B5,0.0,50.0,0.39444441095071847,0,0,60.0,20.583840694648565,70.75255434222373,0.0
B5,0.0,50.0,0.39444441095071847,0,0,60.0,20.583840694648565,70.75255434222373,1.5707963267948966
B5,0.0,50.0,0.39444441095071847,0,0,60.0,20.583840694648565,70.75255434222373,3.141592653589793
B5,0.0,50.0,0.39444441095071847,0,0,60.0,20.583840694648565,70.75255434222373,4.71238898038469
B6,0.0,66.7,0.2984513020910304,0,0,65.0,20.583840694648565,70.75255434222373,0.0
B6,0.0,66.7,0.2984513020910304,0,0,65.0,20.583840694648565,70.75255434222373,1.5707963267948966
B6,0.0,66.7,0.2984513020910304,0,0,65.0,20.583840694648565,70.75255434222373,3.141592653589793
B6,0.0,66.7,0.2984513020910304,0,0,65.0,20.583840694648565,70.75255434222373,4.71238898038469
O1,0.0,8.0,6.283185307179586,1,0,38.0,20.583840694648565,70.75255434222373,0
O2,0.0,10.0,6.283185307179586,1,0,42.0,20.583840694648565,70.75255434222373,0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,21.66432078147963,74.84824471099752,0.0
B1,0.0,11.7,1.4172073526193958,0,0,40.0,21.66432078147963,74.84824471099752,1.5707963267948966
B1,0.0,11.7,1.4172073526193958,0,0,40.0,21.66432078147963,74.84824471099752,3.141592653589793
B1,0.0,11.7,1.4172073526193958,0,0,40.0,21.66432078147963,74.84824471099752,4.71238898038469
B2,0.0,15.0,1.1763519158441782,0,0,45.0,21.66432078147963,74.84824471099752,0.0
B2,0.0,15.0,1.1763519158441782,0,0,45.0,21.66432078147963,74.84824471099752,1.5707963267948966
B2,0.0,15.0,1.1763519158441782,0,0,45.0,21.66432078147963,74.84824471099752,3.141592653589793
B2,0.0,15.0,1.1763519158441782,0,0,45.0,21.66432078147963,74.84824471099752,4.71238898038469
B3,0.0,25.0,0.7609635538695277,0,0,50.0,21.66432078147963,74.84824471099752,0.0
B3,0.0,25.0,0.7609635538695277,0,0,50.0,21.66432078147963,74.84824471099752,1.5707963267948966
B3,0.0,25.0,0.7609635538695277,0,0,50.0,21.66432078147963,74.84824471099752,3.141592653589793
B3,0.0,25.0,0.7609635538695277,0,0,50.0,21.66432078147963,74.84824471099752,4.71238898038469
B4,0.0,33.3,0.582939970166106,0,0,55.0,21.66432078147963,74.84824471099752,0.0
B4,0.0,33.3,0.582939970166106,0,0,55.0,21.66432078147963,74.84824471099752,1.5707963267948966
B4,0.0,33.3,0.582939970166106,0,0,55.0,21.66432078147963,74.84824471099752,3.141592653589793
B4,0.0,33.3,0.582939970166106,0,0,55.0,21.66432078147963,74.84824471099752,4.71238898038469
B5,0.0,50.0,0.39444441095071847,0,0,60.0,21.66432078147963,74.84824471099752,0.0
B5,0.0,50.0,0.39444441095071847,0,0,60.0,21.66432078147963,74.84824471099752,1.5707963267948966
B5,0.0,50.0,0.39444441095071847,0,0,60.0,21.66432078147963,74.84824471099752,3.141592653589793
